id,organization_name,staff,reporting_year,total_scope_1,total_scope_2,total_scope_3,action_plan,assessment_id,legal_unit_id,evolution_scope_1,siret,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsEtablissement,categorieEntreprise,codePostalEtablissement,codeCommuneEtablissement,dateCreationUniteLegale,categorieJuridiqueUniteLegale,etablissementSiege,etatAdministratifUniteLegale,APE_2_code,APE_niv_1,siret_count,annee_creation,mois_creation,jour_crea,Duree_Activite,SIREN_YEAR
4327.0,adecco france,4537.0,2018,6014.0,364.0,7460.0,Oui,4327.0,998823504,,99882350431782.0,78.20Z,N,O,51,,GE,69100.0,69266,1969-04-02,5710.0,True,A,78.0,N,796.0,1969.0,4.0,2.0,49.0,9988235042018
3708.0,alsace croisieres - croisieurope,1600.0,2017,36175.0,158.0,9517.0,Oui,3708.0,998348601,,99834860100043.0,50.30Z,,O,42,2019.0,ETI,67000.0,67482,1976-01-01,5710.0,True,A,50.0,H,6.0,1976.0,1.0,1.0,41.0,9983486012017
5633.0,les derives resiniques et terpeniques,749.0,2019,22205.688,3070.068,0.0,Oui,5633.0,985520154,3614.048999999999,98552015400016.0,20.14Z,N,O,41,2019.0,ETI,40100.0,40088,1955-01-01,5710.0,True,A,20.0,C,5.0,1955.0,1.0,1.0,64.0,9855201542019
1558.0,kp1 sas,1157.0,2015,12078.573,1639.529,0.0,Oui,1558.0,976320309,,97632030900413.0,23.61Z,N,O,42,2019.0,ETI,84000.0,84007,1963-01-01,5710.0,True,A,23.0,C,37.0,1963.0,1.0,1.0,52.0,9763203092015
3889.0,cosmetique active production,587.0,2018,207.0,0.1,0.0,Oui,3889.0,975620675,-2225.0,97562067500010.0,20.42Z,,O,41,2019.0,GE,3300.0,03094,1956-01-01,5710.0,True,A,20.0,C,2.0,1956.0,1.0,1.0,62.0,9756206752018
1761.0,delta security solutions,1106.0,2015,4358.6,141.0,0.0,Oui,1761.0,973510019,-416.3999999999997,97351001900050.0,80.20Z,N,O,41,2019.0,GE,69410.0,69040,1985-05-01,5599.0,True,A,80.0,N,42.0,1985.0,5.0,1.0,30.0,9735100192015
5917.0,fedex express fr,6000.0,2018,37383.71,1231.0,163233.89,Oui,5917.0,973505357,35220.55,97350535700275.0,52.29A,N,O,52,2019.0,GE,69007.0,69387,1973-01-01,5710.0,True,A,52.0,H,150.0,1973.0,1.0,1.0,45.0,9735053572018
3157.0,clauger,1200.0,2017,3945.6,59.5,2224.0,Oui,3157.0,971506191,3441.831,97150619100024.0,33.20B,N,O,41,2019.0,ETI,69530.0,69027,1971-01-01,5710.0,True,A,33.0,C,57.0,1971.0,1.0,1.0,46.0,9715061912017
2536.0,hilti france s.a,1500.0,2016,4703.0,344.0,1223.0,Oui,2536.0,971204052,,97120405204256.0,46.63Z,N,O,42,,ETI,92100.0,92012,1971-01-01,5710.0,True,A,46.0,G,114.0,1971.0,1.0,1.0,45.0,9712040522016
3433.0,clinique saint george,600.0,2018,1648.234,270.17,235.88,Oui,3433.0,968802249,-351.7660000000001,96880224900019.0,86.10Z,N,O,41,2019.0,ETI,6100.0,06088,1968-01-01,5710.0,True,A,86.0,Q,1.0,1968.0,1.0,1.0,50.0,9688022492018
