id,organization_name,staff,reporting_year,total_scope_1,total_scope_2,total_scope_3,action_plan,assessment_id,legal_unit_id,evolution_scope_1
4327.0,adecco france,4537.0,2018.0,6014.0,364.0,7460.0,Oui,4327.0,998823504,
3708.0,alsace croisieres - croisieurope,1600.0,2017.0,36175.0,158.0,9517.0,Oui,3708.0,998348601,
5633.0,les derives resiniques et terpeniques,749.0,2019.0,22205.688,3070.068,0.0,Oui,5633.0,985520154,3614.048999999999
1558.0,kp1 sas,1157.0,2015.0,12078.573,1639.529,0.0,Oui,1558.0,976320309,
3889.0,cosmetique active production,587.0,2018.0,207.0,0.1,0.0,Oui,3889.0,975620675,-2225.0
1761.0,delta security solutions,1106.0,2015.0,4358.6,141.0,0.0,Oui,1761.0,973510019,-416.39999999999964
5917.0,fedex express fr,6000.0,2018.0,37383.71,1231.0,163233.89,Oui,5917.0,973505357,35220.55
3157.0,clauger,1200.0,2017.0,3945.6,59.5,2224.0,Oui,3157.0,971506191,3441.831
2536.0,hilti france s.a,1500.0,2016.0,4703.0,344.0,1223.0,Oui,2536.0,971204052,
3433.0,clinique saint george,600.0,2018.0,1648.234,270.17,235.88,Oui,3433.0,968802249,-351.7660000000001
3536.0,egis,659.0,2018.0,5.0,146.0,4310.0,Oui,3536.0,968502559,
6764.0,jtekt europe,570.0,2020.0,1059.32,322.93,0.0,Oui,6764.0,967505967,
5428.0,boiron,2424.0,2017.0,6680.0,2023.0,0.0,Oui,5428.0,967504697,384.0
2209.0,fresenius medical care smad,539.0,2015.0,6516.0,2531.0,0.0,Oui,2209.0,967501685,
6574.0,daikin airconditionning france,500.0,2019.0,1536.0,30.0,0.0,Oui,6574.0,967501065,
6651.0,reel,1374.0,2019.0,712.0,167.0,84193.0,Oui,6651.0,962501318,
6017.0,alliade habitat,870.0,2019.0,48509.3,4726.9,19011.7,Oui,6017.0,960506152,
3168.0,bonduelle traiteur international sas,590.0,2017.0,2071.0,954.0,654.0,Oui,3168.0,957802416,
3647.0,suez r&v osis proximite (ouest & sud-est),1469.0,2018.0,26144.63,87.39,0.0,Oui,3647.0,957528474,
2171.0,toupargel,3073.0,2014.0,17058.0,1433.0,0.0,Oui,2171.0,957526858,
7509.0,cnr,1549.0,2019.0,1596.002585508,15.544745348,100337.003074167,Oui,7509.0,957520901,-1245.997414492
4209.0,galeries lafayette sa,14000.0,2018.0,3692.0,7299.0,0.0,Oui,4209.0,957503931,
4314.0,calor sa,876.0,2018.0,1282.0,731.0,0.0,Oui,4314.0,956512495,
7311.0,aldes,644.0,2019.0,2150.0,179.0,0.0,Oui,7311.0,956506828,
4580.0,boccard,998.0,2018.0,998.0,66.0,0.0,Oui,4580.0,956501258,
29.0,nice matin,1000.0,2012.0,737.0,579.0,25107.0,Oui,29.0,955801204,
467.0,mersen,450.0,2015.0,646.0,136.0,0.0,Oui,467.0,955511217,
1608.0,fiducial bureautique,662.0,2015.0,3037.6,151.0,0.0,Oui,1608.0,955510029,
4234.0,desautel,1054.0,2018.0,5118.7,45.6,0.0,Oui,4234.0,955503982,
4863.0,veem valeo,1300.0,2019.0,531.31,1833.02,543.86,Oui,4863.0,955500293,
7183.0,le credit lyonnais,17318.0,2020.0,6464.34,3697.09,119539.27,Oui,7183.0,954509741,-9709.57
3920.0,cic lyonnaise de banque,3659.0,2018.0,1386.0,796.0,2669.0,Oui,3920.0,954507976,
4399.0,renault trucks sas,9439.0,2018.0,34886.43000000001,5719.12,0.0,Oui,4399.0,954506077,
4277.0,schneider electric industries sas,4500.0,2018.0,6530.0,1942.0,0.0,Oui,4277.0,954503439,5287.0
5578.0,crown emballage france sa,1097.0,2019.0,22974.0,4084.0,0.0,Oui,5578.0,954200838,-3564.0
2199.0,celvia,765.0,2014.0,2044.0,1405.0,1025.0,Oui,2199.0,950608406,
5845.0,cardinal edifice,525.0,2019.0,1698.22,321.39,358.39,Oui,5845.0,950033555,
639.0,france quick sas,3640.0,2014.0,4117.0,4191.0,0.0,Oui,639.0,950026914,
5673.0,cryostar,615.0,2019.0,617.593,226.384,0.0,Oui,5673.0,947252029,12.361999999999966
3817.0,dsm nutritional products france sas,614.0,2018.0,20102.0,1305.0,0.0,Oui,3817.0,946750650,4133.0
209.0,systeme u centrale regionale est,1204.0,2014.0,1266.975,1170.128,0.0,Oui,209.0,946051018,
4142.0,ees - clemessy,5000.0,2018.0,6671.0,413.0,0.0,Oui,4142.0,945752137,
6735.0,solea,580.0,2018.0,6017.0,521.0,7196.0,Oui,6735.0,945551018,-785.0
4909.0,raja,640.0,2018.0,1058.0,114.0,0.0,Oui,4909.0,937080414,99.0
4365.0,bretagne angleterre irlande,2787.0,2018.0,479.0,56.0,0.0,Oui,4365.0,927250217,
337.0,brezillon,1090.0,2015.0,2188.0,1037.0,98886.0,Oui,337.0,925520108,
7068.0,mahle behr france rouffach,520.0,2020.0,219.0,1419.0,155.0,Oui,7068.0,916920697,-279.0
4500.0,jas hennessy & co,1018.0,2019.0,3436.24,253.05,718.32,Oui,4500.0,905620035,673.2399999999998
5272.0,delta dore sa,604.0,2019.0,436.29,170.7,138330.8,Oui,5272.0,897080289,250.59000000000003
3734.0,hpm nord,1296.0,2017.0,3924.93,2115.96,0.0,Oui,3734.0,886080282,
4626.0,rlst sas,732.0,2018.0,9206.0,219.0,0.0,Oui,4626.0,885581033,
6901.0,resilience,25.0,2020.0,0.0,0.14,1919.59,Oui,6901.0,882848229,
6826.0,carbo,7.0,2020.0,0.0,1.359,4.425,Oui,6826.0,880669957,
7038.0,snef telecom,980.0,2020.0,5121574.0,53303.0,0.0,Oui,7038.0,879916799,
5701.0,offspend sas,12.0,2020.0,0.01,0.4,0.0,Oui,5701.0,878730647,
6384.0,sas noe poissonnerie,9.0,2021.0,32.49,3.92,0.0,Oui,6384.0,878128289,
3595.0,proengin,49.0,2019.0,53.72,13.66,399.47,Oui,3595.0,877220095,
245.0,laboratoire de biologie vegetale yves rocher,2977.0,2018.0,4361.0,275.0,0.0,Oui,245.0,876580077,
6634.0,sigma informatique,663.0,2019.0,136.0,195.0,5774.0,Oui,6634.0,872803390,
4272.0,credit mutuel de loire atlantique et centre ouest,1828.0,2018.0,205.0,324.0,483.0,Oui,4272.0,870800299,
6704.0,societe bernard,600.0,2021.0,5917.799999999999,1587.1,1949.0,Oui,6704.0,869500223,-238.8000000000011
5297.0,paul grandjouan saco,1076.0,2018.0,16691.0,107.0,0.0,Oui,5297.0,867800518,
162.0,systeme u ouest,2516.0,2015.0,3328.0,2067.0,0.0,Oui,162.0,867800427,-804.0
7040.0,salaisons celtiques,600.0,2020.0,6170.0,1167.1,0.0,Oui,7040.0,862500279,
5382.0,manitou bf,2400.0,2019.0,6568.0,1018.0,0.0,Oui,5382.0,857802508,
1223.0,armor,740.0,2016.0,29546.0,1288.0,0.0,Oui,1223.0,857800692,
4216.0,banque populaire grand ouest,3226.0,2018.0,1268.0,734.0,27969.0,Oui,4216.0,857500227,805.6
7285.0,centre specialites pharmaceutiques,1227.0,2020.0,803.91,592.0,41.92,Oui,7285.0,857200521,366.28
4401.0,sa compagnie petroliere de l'ouest,671.0,2018.0,7644.0,63.0,0.0,Oui,4401.0,856802400,
5629.0,trouillard,1123.0,2019.0,5099.0,290.0,1463.0,Oui,5629.0,855802369,
4287.0,banque cic ouest,2472.0,2018.0,1381.0,528.0,1879.0,Oui,4287.0,855801072,
4462.0,manufacture francaise des pneumatiques michelin,18870.0,2018.0,127830.0,2198.0,0.0,Oui,4462.0,855200507,
2271.0,axima concept,5530.0,2016.0,19107.0,337.0,0.0,Oui,2271.0,854800745,
5348.0,green motion solutions,1.0,2020.0,0.5,7.0,0.0,Oui,5348.0,853126175,
7256.0,epsa,100.0,2019.0,4368.0,1133.0,0.0,Oui,7256.0,852389865,
6484.0,unite consulting,4.0,2020.0,1e-10,0.03969,5.623049999999999,Oui,6484.0,851386961,
5117.0,ratp dev angers,630.0,2019.0,8729.0,186.0,0.0,Oui,5117.0,849726161,
6741.0,again,42.0,2020.0,8.892,7.17,1109.631,Oui,6741.0,847845849,-5.1080000000000005
6699.0,sas lafis site de bologne,570.0,2020.0,5153.752780000001,2155.52,0.0,Oui,6699.0,845420280,-2168.64722
5908.0,vyv3 pays de la loire - pole services et biens medicaux,790.0,2019.0,1909.0,79.0,0.0,Oui,5908.0,844881417,
5231.0,sarl grapes & co,2.0,2019.0,8.9,2.0,0.0,Oui,5231.0,843802265,
4778.0,phytocontrol group,10.0,2018.0,11.567,0.149,0.0,Oui,4778.0,838612562,
