siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
016450942,00012,01645094200012,O,1964-01-01,NN,,,2014-06-13T23:02:55,false,A,O,,1964-01-01,5710,KEOLIS DIJON,STRD,,,,,,,,,,,,,70.10Z,NAFRev2,,,N,NN,,00103,2020-12-19T08:44:34,,,,40,,RUE,DE LONGVIC,21300,CHENOVE,,,21166,,,,,,,,,,,,,,,,,,,F,,,,,49.31Z,NAFRev2,O
016450942,00020,01645094200020,O,1976-01-01,NN,,,2013-05-18T02:02:36,false,A,O,,1964-01-01,5710,KEOLIS DIJON,STRD,,,,,,,,,,,,,70.10Z,NAFRev2,,,N,NN,,00103,2020-12-19T08:44:34,,,,1,B,PL,GRANGIER,21000,DIJON,,,21231,,,,,,,,,,,,,,,,,,,F,,,,,49.31Z,NAFRev2,N
016450942,00038,01645094200038,O,1988-04-01,NN,,,2013-01-15T19:48:50,false,A,O,,1964-01-01,5710,KEOLIS DIJON,STRD,,,,,,,,,,,,,70.10Z,NAFRev2,,,N,NN,,00103,2020-12-19T08:44:34,,,,61,,RUE,DE LA LIBERTE,21000,DIJON,,,21231,,,,,,,,,,,,,,,,,,,F,,,,,49.31Z,NAFRev2,N
016450942,00046,01645094200046,O,2012-03-15,NN,,,2018-09-29T12:00:24,false,A,O,,1964-01-01,5710,KEOLIS DIJON,STRD,,,,,,,,,,,,,70.10Z,NAFRev2,,,N,NN,,00103,2020-12-19T08:44:34,,,,49,,RUE,DES ATELIERS,21000,DIJON,,,21231,,,,,,,,,,,,,,,,,,,F,,,,,49.31Z,NAFRev2,N
016450942,00053,01645094200053,O,2012-01-01,,,,2017-03-16T04:50:22,false,A,O,,1964-01-01,5710,KEOLIS DIJON,STRD,,,,,,,,,,,,,70.10Z,NAFRev2,,,N,NN,,00103,2020-12-19T08:44:34,,,,59,,RUE,DIDEROT,21000,DIJON,,,21231,,,,,,,,,,,,,,,,,,,F,,,,,49.31Z,NAFRev2,N
016450942,00061,01645094200061,O,2012-01-01,,,,2017-03-16T04:50:22,false,A,O,,1964-01-01,5710,KEOLIS DIJON,STRD,,,,,,,,,,,,,70.10Z,NAFRev2,,,N,NN,,00103,2020-12-19T08:44:34,,,,16,,PL,DARCY,21000,DIJON,,,21231,,,,,,,,,,,,,,,,,,,F,,,,,49.31Z,NAFRev2,N
016450942,00079,01645094200079,O,2013-03-13,,,,2014-11-26T09:14:31,false,A,O,,1964-01-01,5710,KEOLIS DIJON,STRD,,,,,,,,,,,,,70.10Z,NAFRev2,,,N,NN,,00103,2020-12-19T08:44:34,,,,17,,BD,DE BROSSES,21000,DIJON,,,21231,,,,,,,,,,,,,,,,,,,F,,,,,49.31Z,NAFRev2,N
016450942,00087,01645094200087,O,2014-05-01,,,,2017-03-16T04:50:22,false,A,O,,1964-01-01,5710,KEOLIS DIJON,STRD,,,,,,,,,,,,,70.10Z,NAFRev2,,,N,NN,,00103,2020-12-19T08:44:34,,,,,,,GARE DIJON VILLE,21000,DIJON,,,21231,,,,,,,,,,,,,,,,,,,F,,,,,52.21Z,NAFRev2,N
016450942,00095,01645094200095,O,2014-10-01,,,,2017-03-16T04:50:23,false,A,O,,1964-01-01,5710,KEOLIS DIJON,STRD,,,,,,,,,,,,,70.10Z,NAFRev2,,,N,NN,,00103,2020-12-19T08:44:34,,,,8,,BD,DE BROSSES,21000,DIJON,,,21231,,,,,,,,,,,,,,,,,,,F,,,,,49.31Z,NAFRev2,N
016450942,00103,01645094200103,O,2017-01-01,,,,2020-12-19T08:44:34,true,A,O,,1964-01-01,5710,KEOLIS DIJON,STRD,,,,,,,,,,,,,70.10Z,NAFRev2,,,N,NN,,00103,2020-12-19T08:44:34,,,,20,,RUE,LE PELETIER,75009,PARIS 9,,,75109,,,,,,,,,,,,,,,,,,,F,,,,,70.10Z,NAFRev2,N
302208301,00010,30220830100010,O,1900-01-01,NN,,,2017-05-04T01:48:38,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,,120,,AV,DU MARECHAL FOCH,94000,CRETEIL,,,94028,94015,CRETEIL CEDEX,,,,,,,,,,,,,,,,,F,,,,,46.34Z,NAFRev2,O
302208301,00069,30220830100069,O,1900-01-01,NN,,,null,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,,,,,,74110,MORZINE,,,74191,,,,,,,,,,,,,,,,,,,F,,,,,55.2E,NAF1993,N
302208301,00135,30220830100135,O,1900-01-01,12,2019,,2021-10-27T08:14:17,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,,30,,BD,GAY LUSSAC,13014,MARSEILLE 14,,,13214,13309,MARSEILLE CEDEX 14,,,,,,,,,,,,,,,,,F,,,,,11.01Z,NAFRev2,O
302208301,00192,30220830100192,O,1981-04-06,02,2019,,2021-10-27T08:14:17,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,,6,,RUE,DU ROI ALBERT,44000,NANTES,,,44109,,,,,,,,,,,,,,,,,,,F,,,,,46.34Z,NAFRev2,O
302208301,00200,30220830100200,O,1981-06-01,NN,,,2008-01-04T19:19:08,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,,13,,BD,CHARLES 5,54000,NANCY,,BP 690,54395,54063,NANCY CEDEX,,,,,,,,,,,,,,,,,F,,,,,51.3J,NAFRev1,O
302208301,00218,30220830100218,O,1981-05-01,,,,2020-09-09T15:50:06,false,C,O,,1974-01-01,5710,PERNOD,,,,,,,,,,,,,,11.01Z,NAFRev2,,N,O,41,2019,00366,2021-10-27T08:14:17,GE,2019,,,,RTE,DE BASTIA ZI DE BALEONE,20167,SARROLA-CARCOPINO,,,2A271,,,,,,,,,,,,,,,,,,,F,,,,,52.10B,NAFRev2,N
