siren,siret,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsEtablissement,categorieEntreprise,codePostalEtablissement,codeCommuneEtablissement,dateCreationUniteLegale,categorieJuridiqueUniteLegale,etablissementSiege,etatAdministratifUniteLegale,APE_2_code,APE_niv_1,siret_count
602018897,60201889700168,10.82Z,N,O,32,,ETI,76130.0,76451,1960-01-01,5599,True,A,10,C,9
602020737,60202073700022,33.13Z,N,O,41,2019.0,GE,31700.0,31069,1900-01-01,5710,True,A,33,C,12
602025538,60202553800078,45.11Z,N,O,00,2019.0,GE,2600.0,02810,1960-01-01,5710,True,A,45,G,22
602039299,60203929900113,71.12B,N,O,32,,GE,78180.0,78423,1960-01-01,5710,True,A,71,M,12
602044638,60204463801139,78.20Z,N,O,22,,GE,94000.0,94028,1960-01-01,5710,True,A,78,N,137
602055311,60205531102814,95.11Z,N,O,32,2019.0,ETI,92600.0,92004,1900-01-01,5710,True,A,95,S,155
602056749,60205674900321,10.81Z,N,O,42,2019.0,ETI,80700.0,80685,1960-01-01,5710,True,A,10,C,21
602820011,60282001100107,25.50B,N,O,42,2019.0,ETI,93420.0,93078,1960-01-01,5710,True,A,25,C,19
605520071,60552007102384,64.19Z,N,O,51,,GE,69003.0,69383,1955-01-01,5560,True,A,64,K,435
608202727,60820272700301,70.10Z,N,O,41,2019.0,GE,92000.0,92050,1960-01-01,5710,True,A,70,M,41
609849153,60984915300133,21.20Z,N,O,42,2019.0,ETI,92200.0,92051,1900-01-01,5710,True,A,21,C,9
612034496,61203449600028,73.20Z,N,O,42,2019.0,ETI,78240.0,78133,1900-01-01,5710,True,A,73,M,7
612035832,61203583200049,47.71Z,N,O,42,2019.0,GE,75008.0,75108,1961-01-01,5599,True,A,47,G,90
612039073,61203907300400,46.49Z,N,O,42,,GE,75013.0,75113,1961-01-01,5710,True,A,46,G,35
612039495,61203949500603,26.51A,N,O,51,,GE,33700.0,33281,1961-01-01,5710,True,A,26,C,32
617120118,61712011800170,42.11Z,N,O,41,2019.0,ETI,59193.0,59202,1971-01-01,5710,True,A,42,F,27
618200380,61820038000102,49.31Z,N,O,41,2019.0,GE,93420.0,93078,1961-01-01,5710,True,A,49,H,6
620100081,62010008100012,38.50,,N,,,,30300.0,30032,1962-12-25,1000,True,C,38,E,1
622009918,62200991800039,29.32Z,,O,41,2019.0,ETI,75017.0,75117,1967-01-01,5202,True,A,29,C,6
622019503,62201950300086,20.14Z,N,O,41,,ETI,69130.0,69081,1962-01-01,5599,True,A,20,C,11
622037083,62203708300350,20.14Z,N,O,51,,GE,69003.0,69383,1977-01-01,5710,True,A,20,C,33
622037513,62203751300075,17.12Z,,O,NN,,,92350.0,92060,1900-01-01,5710,True,C,17,C,5
622042422,62204242200882,20.15Z,N,O,41,2019.0,ETI,92800.0,92062,1962-01-01,5710,True,A,20,C,49
622044501,62204450100139,73.12Z,N,O,51,2019.0,ETI,92200.0,92051,1984-07-01,5710,True,A,73,M,29
622057594,62205759400385,38.11Z,N,O,41,,GE,92000.0,92050,1900-01-01,5202,True,A,38,E,33
629800988,62980098800111,42.12Z,N,O,32,,GE,78140.0,78640,1962-01-01,5710,True,A,42,F,15
629857301,62985730100499,33.12Z,N,O,42,,ETI,78140.0,78640,1974-01-01,5710,True,A,33,C,28
630800084,63080008400018,30.30Z,N,O,41,2019.0,GE,31200.0,31555,1963-01-01,5710,True,A,30,C,3
632000014,63200001401405,47.11C,N,O,42,2019.0,ETI,69700.0,69136,1900-01-01,5699,True,A,47,G,237
632009528,63200952800043,26.11Z,N,O,11,,PME,94380.0,94011,1963-01-01,5710,True,A,26,C,2
632012100,63201210000012,77.40Z,N,O,52,2019.0,GE,75008.0,75108,1963-01-01,5599,True,A,77,N,177
632017513,63201751303320,64.19Z,N,O,42,,GE,92000.0,92050,1963-01-01,5599,True,A,64,K,311
632039988,63203998800084,17.21A,,O,42,,ETI,33600.0,33318,1963-01-01,5710,True,A,17,C,15
632041042,63204104266251,56.29A,N,O,53,,GE,92320.0,92020,1964-01-01,5710,True,A,56,I,6690
632045837,63204583700630,28.22Z,N,O,42,2019.0,ETI,69570.0,69072,1965-01-01,5710,True,A,28,C,37
632050019,63205001900447,52.21Z,N,O,42,,GE,92130.0,92040,1963-01-01,5599,True,A,52,H,41
636720120,63672012000196,43.99B,N,O,41,2019.0,ETI,35730.0,35228,1957-01-01,5599,True,A,43,F,18
638502963,63850296300082,10.71A,N,O,42,2019.0,GE,57730.0,57224,1963-01-01,5599,True,A,10,C,12
638503045,63850304500053,64.20Z,N,O,11,2019.0,ETI,67980.0,67182,1963-01-01,5710,True,A,64,K,1
639200260,63920026000029,28.22Z,N,O,41,2019.0,ETI,35690.0,35001,1963-01-01,5710,True,A,28,C,2
639804384,63980438400019,26.51B,N,O,42,2019.0,GE,78370.0,78490,1963-01-01,5710,True,A,26,C,13
642005177,64200517700406,20.13B,N,O,42,2019.0,ETI,73000.0,73065,1973-02-07,5710,True,A,20,C,30
642009583,64200958300567,78.20Z,N,O,11,,GE,75017.0,75117,1964-01-01,5499,True,A,78,N,57
642016166,64201616602048,23.63Z,N,O,41,2019.0,GE,78930.0,78291,1900-01-01,5710,True,A,23,C,353
642041362,64204136200202,46.46Z,N,O,41,,GE,92500.0,92063,1964-01-01,5710,True,A,46,G,16
642044366,64204436600069,66.19B,N,O,41,2019.0,ETI,92230.0,92036,1964-01-01,5558,True,A,66,K,22
645680026,64568002600079,10.13A,N,O,42,2019.0,ETI,40280.0,40281,1956-01-01,5710,True,A,10,C,27
646650234,64665023400081,17.21B,N,O,41,2019.0,ETI,39220.0,39059,1966-01-01,5710,True,A,17,C,17
652044827,65204482700200,26.51A,N,O,41,2019.0,ETI,78190.0,78621,1900-01-01,5710,True,A,26,C,14
652054198,65205419800070,28.14Z,N,O,41,2019.0,ETI,68700.0,68063,1960-01-01,5710,True,A,28,C,31
654800689,65480068900022,23.51Z,N,O,42,2019.0,GE,78930.0,78291,1965-01-01,5710,True,A,23,C,54
662025196,66202519660347,56.29B,N,O,52,2019.0,GE,92400.0,92026,1966-01-01,5710,True,A,56,I,6043
662042449,66204244900014,64.19Z,N,O,53,2019.0,GE,75009.0,75109,1966-07-01,5599,True,A,64,K,3732
665580072,66558007200205,10.39A,N,O,42,2019.0,ETI,59173.0,59497,1955-01-01,5710,True,A,10,C,28
668502966,66850296600041,46.74A,N,O,42,2019.0,ETI,67150.0,67130,1966-01-01,5710,True,A,46,G,222
672008489,67200848900250,38.22Z,N,O,51,2019.0,GE,91190.0,91272,1900-01-01,5599,True,A,38,E,40
672014081,67201408100158,24.42Z,N,O,42,2019.0,GE,63500.0,63178,1967-01-01,5710,True,A,24,C,16
672024155,67202415500117,10.82Z,N,O,42,2019.0,ETI,75001.0,75101,1967-01-01,5710,True,A,10,C,33
672039971,67203997101944,10.51A,N,O,51,,GE,92500.0,92063,1900-01-01,5710,True,A,10,C,41
673620399,67362039900026,21.20Z,N,O,51,2019.0,ETI,69280.0,69127,1967-01-01,5599,True,A,21,C,19
675580542,67558054200016,28.30Z,N,O,42,2019.0,ETI,67700.0,67437,1955-01-01,5710,True,A,28,C,2
675680458,67568045800014,27.12Z,,O,32,2019.0,GE,67260.0,67434,1956-01-01,5710,True,A,27,C,27
675980114,67598011400010,27.12Z,N,O,51,2019.0,ETI,67210.0,67348,1959-01-01,5710,True,A,27,C,14
676250111,67625011100017,21.20Z,N,O,41,2019.0,ETI,70200.0,70321,1962-01-01,5599,True,A,21,C,10
676920234,67692023400041,49.41A,N,O,41,2019.0,ETI,19270.0,19274,1969-01-01,5710,True,A,49,H,19
682003991,68200399102636,78.20Z,N,O,31,,GE,69100.0,69266,1983-01-01,5710,True,A,78,N,266
682780150,68278015000012,30.30Z,,O,NN,,,65290.0,65284,1981-05-22,5710,True,C,30,C,7
685420606,68542060602588,47.71Z,N,O,51,2019.0,ETI,59700.0,59378,1954-01-01,5710,True,A,47,G,460
685550659,68555065900534,77.39Z,N,O,41,2019.0,ETI,71850.0,71105,1955-01-01,5710,True,A,77,N,70
687020214,68702021400015,20.42Z,N,O,41,2019.0,GE,59540.0,59139,1970-01-01,5202,True,A,20,C,3
688203173,68820317300838,52.29A,,O,NN,,,93420.0,93078,1968-01-01,5710,True,C,52,H,89
692004807,69200480700057,70.10Z,N,O,41,2019.0,GE,92400.0,92026,1969-01-01,5710,True,A,70,M,7
692007495,69200749500058,42.91Z,N,O,41,2019.0,ETI,92150.0,92073,1900-01-01,5710,True,A,42,F,3
692015217,69201521700106,30.30Z,,O,42,2019.0,GE,92700.0,92025,1900-01-01,5710,True,A,30,C,9
692043714,69204371400108,64.19Z,O,O,42,2019.0,GE,75009.0,75109,1982-11-24,5194,True,A,64,K,236
693001091,69300109100091,82.99Z,N,O,41,2019.0,GE,92210.0,92064,1900-01-01,5710,True,A,82,N,11
695680108,69568010802753,46.73A,N,O,42,,GE,92400.0,92026,1986-01-13,5710,True,A,46,G,230
696520410,69652041000023,15.12Z,N,O,51,2019.0,GE,75008.0,75108,1976-01-01,5710,True,A,15,C,70
696780428,69678042800376,25.61Z,N,O,41,2019.0,ETI,69800.0,69290,1967-01-01,5710,True,A,25,C,40
698800935,69880093500018,30.20Z,N,O,42,2019.0,ETI,59154.0,59160,1969-01-01,5710,True,A,30,C,10
699804308,69980430800053,46.19A,O,O,22,2019.0,ETI,78550.0,78048,1969-01-01,5560,True,A,46,G,5
700200983,70020098300018,10.92Z,N,O,41,2019.0,GE,30470.0,30006,1970-01-01,5710,True,A,10,C,16
