NbEntrp_secteur,FraisPersonnel_secteur,Salaries_tps_plein_secteur,CA_exportation_secteur,CA_hors_taxe_secteur,EBE_secteur,VA_et_autres_prdts_charges_secteur,ResultatNetComptable_secteur,CapaciteAutofinancement_secteur,ResultatCourantAvantImpots_secteur,InvestCorporelsBrutsHorsApports_secteur,annee_secteur,SecteurDActivite_secteur,secteur_secteur,description_ape_secteur,CO2_secteur,CO2e_secteur,CH4_secteur,N2O_secteur,HFC_secteur,PFC_secteur,SF6_secteur,NF3_secteur,Gaz_fluores_secteur,eges_secteur
5304.0,168.7,3680.0,93.4,912.1,117.7,300.6,59.0,119.2,41.6,91.82875,2009,A,agriculture,"AGRICULTURE, SYLVICULTURE ET PÊCHE",88.5040805195568,12.559923237711203,39812.62409940985,36129.839006899056,1.6941755366784306,0.0,0.0,0.0,1.6941755366784306,177.00985521465026
1838.0,954.6,18756.0,470.5,5687.9,834.8,1990.3,3248.29,4182.891250000001,3195.4529999999995,633.7,2009,B,energie,INDUSTRIES EXTRACTIVES,66.40200732626887,64.11968429751462,1512.2449744525863,421.304619867971,9.870437971423248,0.0,338.90299646227714,0.0,348.7734344337004,63.6984676670212
212665.27272727276,68531.9,1490309.0,69023.2,71368.4,16998.371999999996,84078.845,7742.577999999999,13590.481,10144.914,10744.287,2009,C,indus_manu,INDUSTRIE MANUFACTURIÈRE,89.81911795466515,79.00019918321938,295.4351063622149,4013.2599610938128,3622.708422900517,1665.2754609975295,575.9057096541559,24.9572,5888.846793552201,184.90570579244496
23855.272727272728,441.8,6283.0,1585.2,12790.9,2782.675,3429.7759999999994,105.04600000000003,1901.34375,510.261,5407.8,2009,D,energie,"PRODUCTION ET DISTRIBUTION D'ÉLECTRICITÉ, DE GAZ, DE VAPEUR ET D'AIR CONDITIONNÉ",66.40200732626887,64.11968429751462,1512.2449744525863,421.304619867971,9.870437971423248,0.0,338.90299646227714,0.0,348.7734344337004,69.45432041995026
12138.545454545454,2669.9,56659.0,1370.1,14745.6,1871.155,5079.187,746.6159999999999,1537.323,767.076,3287.8900000000003,2009,E,dechets,"PRODUCTION ET DISTRIBUTION D'EAU ; ASSAINISSEMENT, GESTION DES DÉCHETS ET DÉPOLLUTION",17.95962350159886,1.2673399165486634,16250.369222726056,441.9143623241421,0.0,0.0,0.0,0.0,0.0,35.919247003197725
404996.0,53673.3,1110217.0,2951.9,201663.1,14201.1,70721.1,9629.0,12964.6,11486.6,6327.352222222222,2009,F,construction,CONSTRUCTION,2.9514831961536894,3.262171651372449,6.108467705551914,236.762286452025,67.81770106118304,0.0,0.0,0.0,67.81770106118304,6.592161003806081
709818.2727272727,79343.2,1710012.0,79900.79999999999,786993.0349999999,26959.724,116242.982,16783.214,22326.55,21472.5,10693.695000000002,2009,G,tertiaire,COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES,28.28033991476097,36.26917417710719,72.96370245080705,162.5334196959019,7713.906751897343,2.7902427112299,36.64014559093833,0.0,7753.337140199512,25.296225894910233
84929.0,19432.3,433171.0,2083.6,71882.95,4579.293,24329.524,2089.168,3219.65,2434.522,4779.800000000001,2009,H,transport,TRANSPORTS ET ENTREPOSAGE,135.99509659879257,131.23484753150092,241.5357013738091,1169.6261707281456,3349.0871951896734,0.0,0.0,0.0,3349.0871951896734,275.33928039277475
221531.0,19235.1,527327.0,969.7,70214.768,4587.638000000001,29406.177000000003,2766.343,3365.494444444445,940.583,4716.364444444444,2009,I,tertiaire,HÉBERGEMENT ET RESTAURATION,28.28033991476097,36.26917417710719,72.96370245080705,162.5334196959019,7713.906751897343,2.7902427112299,36.64014559093833,0.0,7753.337140199512,4.309353812758323
80618.0,19460.9,271794.0,6951.5,64160.56599999999,6678.7300000000005,28919.445,1959.046,6544.035000000001,2524.26,2191.752,2009,J,tertiaire,INFORMATION ET COMMUNICATION,28.28033991476097,36.26917417710719,72.96370245080705,162.5334196959019,7713.906751897343,2.7902427112299,36.64014559093833,0.0,7753.337140199512,3.8958749112930544
36590.0,6530.9,4787.0,2409.1,28712.3,4752.4,12042.5,7932.5,7240.5,8599.0,964.3,2009,K,tertiaire,ACTIVITÉS FINANCIÈRES ET D'ASSURANCE,28.28033991476097,36.26917417710719,72.96370245080705,162.5334196959019,7713.906751897343,2.7902427112299,36.64014559093833,0.0,7753.337140199512,2.731758529502856
148615.0,8429.6,150691.0,1194.1,56547.9,18383.7,30243.9,10226.5,18137.6,8558.6,27610.7,2009,L,tertiaire,ACTIVITÉS IMMOBILIÈRES,28.28033991476097,36.26917417710719,72.96370245080705,162.5334196959019,7713.906751897343,2.7902427112299,36.64014559093833,0.0,7753.337140199512,8.329475258258848
476649.8181818182,47695.9,642413.0,14854.5,144881.147,17474.243,71441.26999999999,40507.123,44854.026,39358.395,5525.719999999999,2009,M,tertiaire,"ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES",28.28033991476097,36.26917417710719,72.96370245080705,162.5334196959019,7713.906751897343,2.7902427112299,36.64014559093833,0.0,7753.337140199512,16.30471097082312
199319.0,31061.0,440714.0,7865.7,84699.386,9568.974,38887.5,5117.1,10234.324,5198.464999999999,10197.093,2009,N,tertiaire,ACTIVITÉS DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,28.28033991476097,36.26917417710719,72.96370245080705,162.5334196959019,7713.906751897343,2.7902427112299,36.64014559093833,0.0,7753.337140199512,6.872554715148647
59460.0,4012.6,80454.0,716.7,10205.9,943.5,5071.2,672.8000000000001,853.6,727.0,380.2,2009,P,tertiaire,ENSEIGNEMENT,28.28033991476097,36.26917417710719,72.96370245080705,162.5334196959019,7713.906751897343,2.7902427112299,36.64014559093833,0.0,7753.337140199512,0.8563277251531449
449977.5454545455,18682.4,282744.0,256.9,61679.9,22726.2,44491.2,20632.9,22087.8,21122.0,1280.9,2009,Q,tertiaire,SANTÉ HUMAINE ET ACTION SOCIALE,28.28033991476097,36.26917417710719,72.96370245080705,162.5334196959019,7713.906751897343,2.7902427112299,36.64014559093833,0.0,7753.337140199512,9.012477426461018
60968.0,3938.9,70434.0,599.5999999999999,11667.0,908.1,4777.9,461.3,822.4000000000001,340.0,986.2,2009,R,tertiaire,"ARTS, SPECTACLES ET ACTIVITÉS RÉCRÉATIVES",28.28033991476097,36.26917417710719,72.96370245080705,162.5334196959019,7713.906751897343,2.7902427112299,36.64014559093833,0.0,7753.337140199512,0.8607183938986814
