annee,NbEntrp,Activite,SecteurDActivite,FraisPersonnel,Salaries_tps_plein,CA_exportation,CA_hors_taxe,EBE,VA_et_autres_prdts_charges,ResultatNetComptable,CapaciteAutofinancement,ResultatCourantAvantImpots,InvestCorporelsBrutsHorsApports
2009,5377.0,"Agriculture, sylviculture et pêche ",A ,251.6,5490.0,167.7,1384.4,129.6,393.9,53.5,127.6,35.3,107.9
2009,1850.0,Industries extractives ,B ,1274.6,23983.0,604.9,7382.6,1079.4,2604.0,9613.3,7797.6,7889.2,758.6
2009,207015.0,Industrie manufacturière ,C ,146617.6,2777590.0,261564.9,804010.6,33659.7,202476.7,5877.4,26703.9,19010.7,27716.9
2009,6524.0,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné ",D ,11801.8,149172.0,14394.1,103455.6,10925.9,23997.7,7002.5,11889.0,7757.1,15754.2
2009,6627.0,"Production et distribution d'eau - assainissement, gestion des déchets et dépollution ",E ,6280.2,126938.0,2026.1,30138.2,2105.1,9369.7,1371.7,2788.3,1794.3,2278.2
2009,405286.0,Construction ,F ,66882.9,1347942.0,5544.5,250548.6,15899.4,86429.0,12033.6,15071.6,14836.2,6843.7
2009,586315.0,Commerce - réparation d'automobiles et de motocycles ,G ,119196.0,2620198.0,111991.3,1238076.7,40470.9,186709.3,24795.5,33953.8,34782.7,15747.2
2009,85250.0,Transports et entreposage ,H ,56995.5,1167704.0,34924.4,177112.9,15931.5,75110.0,1928.0,10933.8,4425.5,20565.3
2009,221642.0,Hébergement et restauration ,I ,24714.1,668252.0,2120.7,74177.7,6642.0,32924.6,3185.1,6259.5,3067.7,5503.8
2009,80910.0,Information et communication ,J ,45297.5,652610.0,13667.6,168775.1,27753.3,76339.8,7005.8,27002.2,11919.5,11613.6
2009,36716.0,Activités financières et d'assurance ,K ,7040.4,12855.0,16074.6,45136.0,4907.1,12768.1,8059.2,7373.7,8785.9,1008.8
2009,148704.0,Activités immobilières ,L ,10658.0,198018.0,1244.7,69454.8,22909.6,38282.4,11780.2,21229.6,8976.6,37569.4
2009,306402.0,"Activités spécialisées, scientifiques et techniques ",M ,66261.7,893742.0,29476.6,183360.9,16049.0,83599.1,43705.5,60913.1,48734.1,5465.8
2009,137219.0,Activités de services administratifs et de soutien ,N ,48408.1,822368.0,10791.1,123316.4,14108.5,64912.9,4509.6,15486.1,5458.0,17651.8
2009,59486.0,Enseignement ,P ,4429.8,94832.0,790.1,11280.1,963.3,5494.0,667.0,863.2,733.9,419.7
2009,352486.0,Santé humaine et action sociale ,Q ,22423.4,401177.0,308.9,69007.2,22679.3,48489.7,20832.8,21842.1,21428.8,1752.1
